37,40,34
37,41,35
26,36,45
35,45,36
44,27,35
39,38,33
39,39,33
37,42,34
38,43,31
37,44,31
-47,15,-30
-43,19,-44
-53,16,-29
-51,15,-32
-55,12,-31
-54,15,-32
-51,22,-35
-56,13,-35
-54,18,-37
-40,15,-33
-46,16,-40
-40,22,-41
-37,29,-39
-40,24,-34
-31,32,-49
-51,4,-41
-54,12,-34
-46,24,-29
-51,9,-41
-43,-13,-56
-53,1,-32
-48,-7,-47
-53,-6,-37
-47,-4,-47
-42,7,-36
-30,6,-46
-48,7,-49
-27,28,-53
-39,-22,-54
-55,42,-33
-12,47,-20
-60,15,4
-77,-32,21
-64,-42,2
-60,-12,3
-63,-18,-4
-63,-21,0
-63,-16,-3
-54,-28,-12
-68,-17,-19
-21,40,-37
16,4,-62
10,34,-41
38,24,-49
0,0,-66
-22,22,-49
-18,24,-70
-15,48,-19
-15,21,-37
7,19,-60
12,37,-51
15,44,-49
28,36,-48
31,33,-64
25,30,-59
25,36,-48
26,31,-42
31,37,-44
26,28,-35
37,33,-41
35,26,-39
35,29,-38
43,31,-45
43,23,-46
42,24,-50
35,33,-45
26,44,-48
22,19,-64
25,24,-53
20,29,-61
-2,24,-21
12,13,-70
10,8,-71
26,11,-56
28,15,-65
14,50,-67
-3,33,-37
-21,27,-30
25,54,-24
1,49,-48
8,65,-58
-6,35,-38
13,62,-47
5,43,-33
14,51,-26
13,46,-38
26,42,-21
25,56,-36
13,47,-37
9,65,-29
8,56,-34
-3,64,-31
1,57,-33
2,55,-29
1,59,-25
5,49,-35
3,59,-30
10,54,-39
2,44,-43
4,52,-32
-3,46,-37
0,54,-41
1,48,-31
1,59,-28
4,63,-29
5,50,-25
4,58,-20
8,62,-18
6,64,-14
17,60,-19
16,63,-6
19,59,-8
23,56,-5
24,57,-11
18,62,-10
19,60,-6
22,61,-10
19,59,-10
15,51,-11
18,60,-16
18,60,-13
17,59,-14
18,59,-15
20,59,-19
17,62,-12
18,58,-17
17,60,-20
16,59,-22
15,57,-27
15,57,-24
18,57,-26
16,58,-28
20,53,-29
17,59,-29
21,54,-25
13,63,-30
15,58,-29
14,43,-16
18,58,-19
17,54,-24
16,56,-31
14,56,-35
13,53,-33
9,58,-44
8,50,-41
11,52,-32
12,47,-35
13,51,-41
10,54,-38
9,57,-40
14,37,-42
14,53,-37
16,56,-32
11,52,-19
7,48,-22
5,58,-21
-8,74,-8
-7,62,-7
-8,62,0
4,55,1
8,61,4
10,65,0
10,63,6
11,58,16
11,58,20
12,56,28
12,56,27
11,57,29
9,56,31
11,53,39
17,49,36
20,51,39
19,48,40
19,49,37
18,46,39
15,43,44
17,41,46
19,43,43
21,39,42
18,43,45
17,43,43
17,49,40
16,53,38
14,56,33
9,64,23
10,58,26
5,57,26
1,61,20
0,64,-1
-5,62,-18
-9,66,-27
-7,57,-30
-2,52,-36
-5,51,-37
-9,51,-39
-9,51,-38
-7,53,-39
-9,47,-33
-13,53,-39
-20,47,-34
-23,48,-37
-23,42,-38
-22,27,-44
-17,43,-43
-15,43,-43
-15,46,-42
-15,45,-44
-15,52,-40
-15,56,-40
-17,53,-40
-15,52,-32
-16,50,-34
-18,52,-32
-18,57,-34
-13,53,-39
-12,52,-35
-3,46,-52
-18,47,-29
-18,40,-41
-21,55,-34
-22,54,-31
-20,45,-39
-21,44,-38
-14,51,-41
-12,61,-40
-12,49,-38
-12,51,-40
-12,54,-39
-14,59,-32
-16,62,-26
-20,60,-9
-17,60,9
-12,66,23
-3,54,23
0,56,26
4,55,31
6,54,32
8,59,30
5,56,31
1,57,30
1,58,26
4,60,25
5,56,27
2,59,25
2,62,21
2,62,19
0,62,15
-2,63,17
-1,64,15
-1,64,14
-2,63,14
-2,62,16
-5,62,15
-8,58,12
-13,68,1
-16,68,9
-22,61,20
-20,56,21
-22,56,24
-25,56,23
-36,55,27
-23,68,22
-15,58,36
-14,53,42
-16,58,38
-10,51,37
-10,50,39
-8,47,41
-10,44,41
-4,39,35
-5,39,32
-6,43,27
-7,43,21
-14,59,7
-13,63,-5
-14,62,-24
-11,52,-31
-11,53,-39
-13,51,-37
-11,37,-40
-15,37,-49
-11,28,-60
-12,54,-56
-19,95,-60
-38,80,-5
3,17,-95
29,36,-51
-10,22,-59
-16,25,-54
-18,26,-47
-4,46,-58
-13,37,-48
-13,36,-46
-19,36,-41
-12,44,-50
-14,42,-48
-13,39,-47
-15,45,-44
-15,49,-44
-16,46,-40
-19,41,-35
-19,31,-34
-12,52,-27
-16,77,-28
-20,37,-40
-6,59,-45
-10,60,-18
-6,66,-24
-10,68,-28
-9,68,-9
-14,66,-4
-15,74,0
-10,95,-21
-26,73,40
-12,27,-21
2,55,-55
-8,25,-27
-7,40,-46
3,49,-43
-5,32,-28
-2,29,-34
0,31,-48
-5,74,-44
-3,65,-41
4,52,-48
4,75,-37
-1,61,-21
3,69,-28
7,75,-26
3,56,-13
-8,79,-19
-28,87,-7
-28,67,13
-15,97,40
-15,40,-17
-10,39,-9
-14,39,-16
-6,54,-37
14,43,-26
8,40,-46
2,31,-46
4,38,-69
-5,73,-46
-16,31,-58
3,44,-62
2,62,-39
0,55,-20
6,81,-21
10,72,-22
2,51,-7
-24,85,3
-38,87,-3
-11,115,7
-10,-24,-14
-9,5,9
-11,48,-16
-9,39,-6
-12,36,-25
-14,46,-33
0,47,-49
4,30,-75
1,40,-68
13,83,-40
2,59,-68
-6,43,-41
8,48,-52
2,59,-42
0,64,-32
-5,64,-22
-10,67,-20
-28,71,-28
-25,68,-35
-11,104,-41
-10,0,-11
-9,29,-51
-5,30,-44
-3,22,-49
-3,34,-54
-2,39,-49
2,29,-58
0,12,-48
-3,58,-48
-3,84,-41
3,34,-44
7,63,-35
6,74,-29
-7,59,-7
-2,67,-12
-5,54,-10
-10,61,-11
-3,98,0
-28,81,17
-22,65,28
-11,6,13
-8,20,6
-7,40,-2
-5,41,-16
1,55,-49
8,57,-69
0,34,-39
8,39,-71
4,61,-53
6,65,-80
11,40,-47
-11,52,-18
11,59,-36
5,48,-19
7,65,-19
7,67,-12
-5,74,4
-35,81,11
-19,66,10
-13,72,41
-10,36,-7
-8,42,7
-7,52,-11
-6,35,-2
10,39,-40
0,41,-38
6,16,-56
2,30,-54
4,82,-45
12,40,-87
5,52,-53
8,72,-47
1,45,-31
6,58,-17
13,75,-22
14,66,-16
-7,71,6
-13,74,10
-17,82,17
-25,73,46
-14,33,21
-8,48,-2
-4,38,4
-11,47,-14
7,59,-42
5,44,-45
1,36,-44
8,48,-59
0,56,-55
6,38,-65
-1,57,-43
2,68,-36
-8,69,-26
-16,57,-12
-15,66,-23
-15,67,-8
-18,64,-6
-17,57,5
-19,57,12
-25,51,19
-24,65,18
-21,48,26
-19,56,18
-14,56,31
-5,49,31
-2,57,30
-2,53,34
-4,56,38
-1,66,26
2,55,38
6,55,36
5,57,33
0,54,38
0,54,42
-3,50,39
0,52,40
-3,54,42
-11,49,33
-14,52,31
-17,54,33
-17,52,27
-24,55,31
-21,54,32
-21,48,36
-21,47,40
-21,46,40
-17,43,41
-21,45,41
-16,44,39
-18,43,34
-20,47,36
-19,53,38
-16,53,36
-18,56,39
-17,50,36
-13,52,34
-14,50,39
-14,51,39
-11,50,33
-11,51,41
-13,59,41
-9,53,37
-5,50,42
-7,45,39
-9,48,38
-11,49,38
-13,54,39
-14,55,40
-14,50,39
-13,50,37
-12,51,38
-10,48,41
-10,49,42
-9,48,39
-9,48,39
-10,52,38
-9,54,34
-11,55,32
-13,56,32
-14,55,30
-12,55,29
-13,55,29
-13,57,29
-11,58,28
-12,56,37
-13,59,30
-11,58,33
-10,54,33
-9,51,37
-10,50,38
-10,54,39
-10,48,36
-8,51,38
-9,55,32
-14,62,29
-15,55,33
-13,53,35
-11,50,39
-8,51,38
-9,54,34
-9,57,34
-8,56,35
-3,57,36
-1,53,34
-2,57,31
0,58,30
0,54,27
-3,62,19
-9,60,11
-13,58,3
-11,71,-7
-8,66,-8
-4,65,-6
-4,64,-7
-5,66,-8
-5,61,-3
-6,62,0
-9,71,-9
-9,66,4
-7,66,5
-5,58,13
-5,59,20
-7,62,24
-7,57,31
-13,57,35
-8,59,27
-6,55,33
-6,52,39
-8,52,39
-8,48,38
-11,49,38
-8,52,40
-10,49,37
-9,51,38
-5,50,38
-7,52,36
-9,53,37
-9,54,38
-9,52,36
-12,52,36
-12,52,36
-13,53,36
-15,54,39
-15,54,38
-10,51,36
-9,50,37
-9,51,39
-13,53,38
-13,52,37
-10,54,38
-15,53,41
-12,50,36
-14,49,38
-15,55,41
-11,51,39
-13,47,41
-8,49,40
-8,47,42
-12,51,39
-12,51,41
-11,52,40
-14,53,37
-13,51,37
-13,52,36
-16,53,36
-12,53,36
-14,51,37
-10,51,37
-8,51,36
-12,52,39
-13,53,36
-13,50,38
-12,53,37
-12,53,38
-13,52,33
-11,54,34
-8,54,38
-9,52,38
-7,48,39
-5,51,38
-8,48,39
-8,51,40
-7,50,37
-8,48,40
-9,47,44
-9,50,42
-9,51,39
-12,50,38
-10,52,37
-11,50,38
-14,52,36
-10,54,35
-8,57,35
-7,61,36
-11,55,30
-11,52,29
-17,53,30
-20,55,30
-20,54,30
-21,57,25
-27,60,18
-20,61,15
-14,57,32
-6,54,23
-11,57,31
-13,50,29
-9,54,17
-9,55,13
-10,62,-1
-6,59,-9
-10,52,-27
-4,54,-31
-3,49,-37
-5,47,-32
0,39,-57
-2,38,-47
-1,34,-54
-11,37,-23
-15,94,-59
-26,121,-22
32,-2,-98
-18,23,-36
-20,26,-50
-13,19,-65
0,46,-43
-15,43,-41
-5,32,-64
-17,39,-43
-15,40,-52
-9,41,-57
-13,43,-53
-14,47,-50
-16,48,-47
-16,47,-43
-16,43,-45
-14,31,-42
-17,45,-27
-18,63,-32
-16,52,-63
-17,48,-54
-20,46,-50
-16,47,-50
-17,38,-48
-18,46,-46
-18,35,-46
-18,47,-37
-9,78,-19
-1,55,-44
3,64,-39
0,52,-27
-7,62,-23
-5,72,-21
-6,72,-14
-14,73,0
-18,59,-9
-12,42,-14
-16,60,10
8,30,-38
-2,47,-52
-1,44,-56
-4,27,-62
-5,37,-39
1,35,-42
-4,32,-48
-1,21,-60
5,81,-43
6,45,-74
9,39,-47
3,82,-39
1,62,-29
-2,56,-17
7,77,-24
3,80,-2
-11,69,-5
-25,81,15
-14,77,18
-21,7,10
0,19,11
-5,36,0
-1,59,-15
-1,30,-29
-17,34,-20
5,42,-57
-1,19,-83
-6,36,-62
9,86,-55
0,51,-46
1,44,-51
3,52,-32
0,54,-25
4,55,-21
13,70,-16
9,56,-4
-19,94,-4
-26,82,-10
-22,94,24
-13,-25,-17
-8,16,-17
-5,44,-19
-6,34,-13
-5,38,-37
-21,50,-26
2,42,-54
2,25,-46
2,42,-70
6,80,-23
5,44,-65
3,44,-44
7,59,-42
-3,47,-25
4,59,-25
0,69,-20
3,68,-23
-11,67,-22
-5,68,-37
-6,85,-16
-11,-6,-52
-4,20,-70
-3,20,-35
-3,30,-60
-5,29,-47
-1,34,-58
1,31,-56
1,12,-39
-2,47,-46
-3,87,-19
5,50,-40
4,63,-51
6,68,-43
2,64,-25
-1,65,-18
4,77,-25
-4,55,-7
-4,97,-15
-29,70,-9
-23,103,41
-3,15,-25
-8,24,-12
-13,24,0
-10,33,-20
7,58,-33
-2,42,-48
4,32,-51
1,27,-77
-1,40,-55
6,90,-47
18,52,-61
7,65,-36
5,65,-25
6,68,-26
5,61,-26
7,69,-10
7,64,-11
-7,80,17
-19,96,4
-26,73,63
-17,22,-1
-10,16,0
2,37,0
-15,44,-2
-11,39,-26
5,35,-52
15,52,-57
12,36,-63
-2,29,-61
3,56,-51
-12,39,-41
-2,19,-73
3,42,-47
-13,41,-27
-3,33,-59
-1,52,-53
-5,46,-45
-6,51,-39
-3,59,-39
-2,52,-28
3,51,-36
0,66,-22
-7,62,-16
-7,60,-15
-6,67,-13
-6,69,-5
-7,65,-1
-12,67,5
-15,58,4
-13,59,16
3,99,-6
-37,-28,52
-17,51,40
-19,43,41
-13,40,31
-16,47,34
-18,48,37
-18,49,34
-20,49,37
-22,48,39
-19,50,37
-15,49,40
-15,47,42
-16,48,45
-12,48,40
-14,48,46
-11,48,42
-6,47,40
-7,44,41
-9,46,45
-8,48,46
-8,48,50
-13,37,43
-5,41,47
-5,40,47
-3,42,47
-2,42,47
0,45,45
1,45,43
2,49,43
4,52,47
-1,50,39
5,45,40
3,46,41
0,50,41
3,55,36
2,54,40
-1,51,36
5,55,32
8,51,34
8,52,35
6,52,38
4,51,36
2,56,36
6,55,38
1,59,32
-2,59,32
0,61,33
-3,56,32
-3,53,36
1,52,39
-2,48,43
-7,47,42
-5,46,47
0,46,43
1,44,41
-1,48,41
-2,47,43
0,45,44
-1,43,49
1,43,49
0,45,49
-1,47,45
-2,49,44
-2,51,40
-4,51,40
-1,52,38
-2,51,39
-2,50,39
-3,50,40
-5,49,40
-8,50,41
-9,49,40
-11,49,43
-10,50,40
-12,53,38
-12,52,36
-14,51,37
-14,52,37
-15,51,36
-15,53,36
-15,53,35
-16,52,35
-15,52,36
-13,53,35
-14,54,34
-16,54,33
-15,54,35
-16,54,35
-15,53,35
-16,52,36
-15,53,35
-16,52,36
-14,51,37
-13,50,34
-16,51,35
-17,52,36
-15,50,37
-15,50,37
-15,49,38
-15,48,39
-14,52,38
-14,51,37
-14,52,37
-14,52,37
-14,51,38
-14,51,38
-15,53,37
-15,54,37
-16,52,36
-17,51,37
-17,52,37
-15,51,37
-13,49,38
-14,49,38
-15,49,38
-15,49,36
-16,50,39
-15,49,39
-15,49,40
-12,50,39
-12,49,40
-11,50,40
-12,52,39
-10,52,38
-9,53,37
-9,54,38
-10,54,40
-8,53,39
-5,51,39
-5,50,41
-2,49,43
2,52,41
3,52,34
-2,58,32
-3,57,31
-1,57,29
-4,56,29
-2,57,33
-1,52,35
-7,46,44
-15,48,48
-23,55,44
-18,65,24
-14,59,33
-11,55,34
-6,55,28
-5,55,27
-9,54,24
-9,49,19
-6,47,23
-10,52,16
-12,60,3
-13,63,-10
-15,55,-6
-19,60,8
-8,51,-25
-9,38,-37
-9,30,-35
-15,56,-51
-22,95,-78
-21,123,-29
65,54,-89
-12,32,-44
-18,16,-47
-10,32,-78
-18,31,-44
-9,49,-49
-9,43,-54
-10,42,-49
-13,44,-51
-17,42,-43
-15,47,-51
