8,54,18
9,53,20
5,53,14
6,52,15
1,57,16
2,56,20
2,55,19
2,56,19
3,57,21
3,58,20
4,57,20
3,57,20
4,57,20
3,57,20
2,57,21
3,57,21
3,56,21
4,57,21
4,57,22
4,57,21
4,56,21
6,57,17
4,58,18
3,57,20
3,55,22
1,55,23
-2,53,27
-1,49,33
-2,46,40
1,44,44
0,40,49
1,35,53
-3,25,53
-6,21,58
-4,17,58
-1,21,58
0,28,60
-1,32,59
-1,29,60
-2,28,55
8,38,45
11,51,32
13,56,33
11,53,38
12,53,42
7,50,43
7,49,46
6,38,26
4,41,25
0,38,24
6,45,22
5,44,14
4,57,0
7,63,-10
6,54,-12
13,36,-21
9,45,-46
7,44,-40
8,39,-48
8,59,-55
11,77,-48
16,80,-35
24,63,-36
4,16,-46
5,32,-71
11,21,-44
7,32,-49
10,36,-55
11,34,-49
11,35,-49
13,34,-51
12,25,-46
8,52,-59
15,39,-47
14,42,-39
18,47,-47
22,59,-37
15,47,-27
23,32,-41
21,37,-35
16,45,-42
18,45,-34
22,38,-38
19,44,-34
18,46,-41
13,49,-43
9,49,-39
9,55,-33
7,56,-38
6,75,-54
11,58,-31
-21,34,-1
-38,45,3
-43,27,5
-51,23,20
-53,41,18
-44,12,33
-26,25,47
-35,11,31
-45,77,-1
-7,61,-38
11,75,-43
22,50,-30
17,42,-41
18,40,-35
21,38,-36
19,42,-44
17,37,-41
14,41,-46
16,39,-40
14,46,-41
17,31,-49
5,39,-43
-1,48,-43
1,53,-42
8,57,-64
5,53,-59
-17,35,-31
-33,34,-14
-40,33,7
-45,23,9
-52,27,1
-45,0,53
-44,19,29
-34,12,38
-29,-6,54
-34,20,-9
-16,52,-18
4,77,-41
20,67,-34
17,47,-40
16,45,-21
18,42,-34
18,47,-35
17,44,-39
15,45,-35
12,45,-41
11,50,-40
9,50,-43
2,43,-36
-3,49,-35
-1,59,-43
7,65,-57
1,60,-48
-16,37,-25
-41,50,-16
-40,27,7
-48,37,8
-53,22,17
-45,17,31
-49,21,28
-37,4,55
-26,11,44
-42,24,34
-1,39,-30
4,95,-48
8,79,-13
10,51,-13
11,54,-9
10,53,-24
9,58,-19
16,52,-20
13,51,-24
14,49,-27
12,53,-30
9,50,-33
3,52,-27
2,54,-31
2,66,-31
7,75,-37
-1,80,-28
-14,30,0
-39,33,10
-45,31,13
-47,37,6
-47,18,24
-49,20,31
-45,12,40
-37,15,39
-33,5,37
-34,20,10
-7,53,-37
-8,107,-36
7,63,-17
7,57,-27
14,54,-15
14,52,-12
12,54,-21
16,49,-26
15,51,-22
12,52,-24
12,50,-31
13,49,-34
8,47,-19
1,59,-20
0,64,-28
2,75,-24
1,68,-48
-11,49,-12
-36,35,0
-47,39,0
-46,22,6
-51,23,12
-51,17,27
-48,17,36
-39,8,54
-25,5,44
-32,17,18
-5,0,-15
-7,104,-41
6,74,-8
7,56,-20
13,59,-20
16,50,-19
17,53,-29
16,49,-30
13,48,-29
14,48,-32
13,52,-28
10,49,-30
3,52,-29
-1,62,-19
-2,64,-24
6,72,-42
3,76,-30
-3,54,-28
-33,38,8
-39,27,14
-47,22,14
-49,20,17
