8,-50,-29
9,-48,-31
5,-50,-25
6,-48,-26
1,-53,-28
2,-51,-31
2,-51,-30
2,-52,-30
3,-52,-32
3,-53,-32
4,-52,-31
3,-52,-31
4,-52,-31
3,-52,-31
2,-52,-32
3,-52,-32
3,-51,-32
4,-52,-32
4,-52,-33
4,-52,-32
4,-51,-32
6,-53,-29
4,-54,-30
3,-52,-31
3,-50,-33
1,-50,-34
-2,-47,-38
-1,-42,-43
-2,-38,-49
1,-35,-52
0,-30,-57
1,-24,-59
-3,-14,-57
-6,-9,-62
-4,-6,-61
-1,-9,-62
0,-16,-65
-1,-20,-65
-1,-17,-65
-2,-17,-60
8,-29,-52
11,-44,-42
13,-49,-44
11,-45,-48
12,-44,-52
7,-41,-53
7,-39,-55
6,-32,-34
4,-36,-33
0,-33,-32
6,-40,-31
5,-41,-23
4,-56,-11
7,-64,-2
6,-56,1
13,-40,14
9,-54,37
7,-52,31
8,-48,40
8,-69,43
11,-86,32
16,-86,19
24,-69,23
4,-25,42
5,-46,64
11,-30,39
7,-42,42
10,-47,47
11,-44,42
11,-45,41
13,-44,44
12,-34,41
8,-63,48
15,-48,39
14,-49,30
18,-56,37
22,-66,25
15,-52,18
23,-40,34
21,-44,27
16,-53,33
18,-51,25
22,-45,30
19,-50,25
18,-54,31
13,-57,33
9,-56,29
9,-61,22
7,-63,27
6,-85,38
11,-64,19
-21,-34,-5
-38,-44,-13
-43,-26,-11
-51,-19,-25
-53,-37,-26
-44,-6,-35
-26,-15,-52
-35,-5,-33
-45,-76,-14
-7,-68,26
11,-83,28
22,-56,20
17,-50,32
18,-47,27
21,-45,28
19,-50,35
17,-45,33
14,-50,37
16,-47,32
14,-54,31
17,-41,42
5,-47,35
-1,-56,33
1,-61,31
8,-69,52
5,-64,48
-17,-41,24
-33,-37,7
-40,-31,-14
-45,-21,-14
-52,-27,-7
-45,10,-53
-44,-13,-33
-34,-5,-40
-29,17,-52
-34,-22,5
-16,-55,8
4,-84,25
20,-73,20
17,-55,30
16,-49,12
18,-48,25
18,-54,25
17,-51,30
15,-52,26
12,-53,32
11,-58,30
9,-58,33
2,-50,27
-3,-56,25
-1,-67,31
7,-76,43
1,-69,36
-16,-42,18
-41,-53,6
-40,-25,-13
-48,-35,-16
-53,-18,-22
-45,-11,-34
-49,-15,-32
-37,7,-55
-26,-2,-46
-42,-17,-39
-1,-45,22
4,-103,29
8,-81,-3
10,-53,3
11,-55,-1
10,-57,13
9,-61,8
16,-56,10
13,-55,14
14,-54,17
12,-58,19
9,-56,23
3,-57,17
2,-60,20
2,-72,18
7,-81,22
-1,-85,12
-14,-30,-6
-39,-31,-17
-45,-28,-19
-47,-35,-14
-47,-13,-28
-49,-14,-35
-45,-4,-42
-37,-7,-42
-33,2,-38
-34,-18,-14
-7,-60,26
-8,-113,14
7,-66,4
7,-62,16
14,-56,4
14,-54,2
12,-58,10
16,-54,16
15,-55,12
12,-56,14
12,-56,21
13,-55,24
8,-51,10
1,-62,8
0,-69,15
2,-79,9
1,-77,34
-11,-51,2
-36,-35,-7
-47,-39,-8
-46,-21,-11
-51,-21,-17
-51,-12,-31
-48,-10,-39
-39,2,-55
-25,4,-45
-32,-13,-22
-5,-3,15
-7,-111,20
6,-75,-7
7,-59,9
13,-62,8
16,-53,9
17,-58,18
16,-55,20
13,-53,19
14,-54,22
13,-57,18
10,-55,20
3,-57,19
-1,-65,7
-2,-68,11
6,-79,27
3,-81,15
-3,-59,17
-33,-36,-16
-39,-24,-20
-47,-19,-19
-49,-17,-21
-49,-13,-37
-48,-13,-31
-40,-9,-45
-30,7,-49
-38,-8,-41
-10,20,-34
-25,-69,29
-10,-91,50
3,-53,43
2,-50,37
0,-48,34
3,-44,41
5,-25,44
1,-22,38
-4,-8,49
-9,-2,54
-5,30,52
-6,49,50
-6,80,21
-12,103,10
-7,101,-7
-3,69,-36
1,61,-43
-5,43,-54
-2,35,-52
-10,16,-71
-17,13,-62
-19,7,-56
-25,-8,-49
-24,-13,-73
-30,-58,-61
-44,-14,-50
-72,47,9
-69,-4,41
-72,-18,10
-44,-6,3
-46,-35,69
-37,-32,31
-34,-28,20
-25,-38,60
-24,-39,61
-16,-36,63
-8,-38,50
-5,-38,53
-2,-44,46
1,-45,53
6,-45,47
6,-44,42
11,-43,46
11,-32,39
12,-29,37
9,-37,23
11,-35,36
18,-36,62
15,-47,41
8,-58,47
11,-47,47
10,-60,25
24,-58,20
22,-47,29
19,-44,37
18,-38,34
16,-43,36
16,-41,33
17,-47,36
16,-39,40
12,-47,37
12,-52,32
4,-54,36
1,-52,30
1,-63,31
2,-62,28
-2,-80,33
-5,-63,29
-35,-42,16
-36,-23,-12
-48,-25,-8
-54,-16,-17
-53,-7,-36
-53,-16,-29
-34,6,-59
-31,5,-47
-29,-11,-37
-14,-53,35
5,-100,64
22,-51,34
18,-38,29
17,-46,34
13,-48,30
13,-51,31
15,-47,40
14,-41,35
10,-43,40
11,-49,35
11,-35,45
8,-44,46
-2,-47,35
-4,-55,31
-3,-52,37
-4,-72,34
-7,-73,23
-29,-34,20
-38,-17,-9
-48,-29,-5
-54,-16,-12
-55,0,-34
-49,-9,-35
-44,1,-46
-29,1,-54
-28,11,-34
-25,-39,8
1,-83,20
9,-89,41
14,-58,29
14,-47,31
14,-55,30
13,-51,22
13,-54,32
15,-43,23
9,-50,34
10,-58,31
7,-51,37
3,-53,42
-4,-44,39
-5,-58,24
-6,-56,45
-8,-73,42
-11,-61,41
-37,-43,1
-41,-29,4
-50,-34,7
-51,-6,-14
-51,-4,-30
-53,-15,-32
-39,4,-46
-30,-12,-49
-30,5,-41
-47,-81,26
6,-70,16
0,-87,17
13,-60,20
12,-63,29
16,-56,22
14,-58,22
18,-50,27
15,-51,33
15,-48,25
12,-54,26
10,-49,28
9,-51,31
2,-51,27
-6,-53,21
-2,-63,36
-1,-75,49
-4,-76,45
-12,-50,14
-40,-38,10
-47,-27,2
-51,-18,-18
-57,-25,-18
-52,-14,-33
-46,4,-41
-46,-17,-34
-32,24,-61
-30,8,-46
-6,6,39
-9,-92,10
8,-66,-12
3,-63,11
7,-61,7
13,-48,-8
12,-60,11
10,-56,11
10,-59,13
10,-54,13
12,-64,13
10,-52,20
3,-62,16
2,-59,15
-2,-69,3
0,-75,14
6,-79,30
-2,-70,12
-22,-31,-5
-39,-32,-13
-43,-19,-23
-50,-17,-23
-56,-13,-18
-54,3,-32
-49,-7,-31
-39,10,-50
-31,18,-53
-25,-7,-43
-13,-40,22
-8,-105,31
8,-82,11
8,-55,4
13,-55,18
13,-59,15
13,-61,14
14,-56,15
12,-54,19
16,-52,14
13,-59,19
11,-58,23
8,-53,14
5,-55,12
5,-63,7
5,-73,14
11,-64,20
5,-58,11
0,-60,7
-3,-57,8
0,-61,7
-1,-61,3
-3,-54,4
-3,-48,10
-6,-53,21
-7,-40,31
-10,-29,45
-14,-5,49
-10,28,56
-10,68,33
-21,103,21
-11,108,15
-9,74,-17
-4,65,-22
-7,48,-41
-9,45,-54
-14,22,-61
-20,10,-57
-27,12,-59
-31,5,-59
-37,-14,-51
-36,-67,-33
-48,-75,-38
-48,45,-62
-92,8,71
-54,1,35
-58,3,15
-46,-30,29
-37,-34,28
-18,-20,72
-26,-26,57
-34,-44,55
-24,-34,50
-19,-42,54
-21,-53,40
-8,-46,40
1,-54,32
13,-55,44
16,-53,34
12,-45,44
15,-50,26
17,-45,49
17,-42,35
16,-43,38
17,-43,44
17,-43,43
13,-50,37
10,-49,41
3,-47,36
-3,-55,21
-8,-61,23
-10,-75,24
-18,-78,24
-23,-55,22
-39,-29,3
-44,-15,-12
-56,-29,-8
-54,-7,-30
-50,-3,-44
-51,-18,-32
-30,20,-61
-21,6,-44
-20,-27,-2
-13,-74,23
-10,-93,4
12,-55,-1
11,-57,11
8,-68,11
12,-60,15
14,-56,17
13,-55,19
10,-56,18
10,-51,25
10,-57,20
7,-57,25
0,-51,25
-8,-58,15
-8,-60,32
-7,-85,25
-8,-75,34
-21,-46,21
-39,-26,-7
-40,-28,1
-54,-20,-13
-52,-13,-24
-55,-12,-35
-45,2,-40
-31,7,-63
-24,18,-42
-20,-17,-13
-15,-54,42
0,-73,65
16,-61,49
19,-40,53
16,-42,44
15,-46,44
18,-35,46
14,-41,50
11,-42,48
9,-42,48
7,-51,36
4,-38,52
3,-50,50
-2,-40,42
-6,-49,39
-1,-48,53
-9,-68,42
-6,-50,42
-34,-39,21
-45,-27,-2
-47,-21,-4
-57,-34,-17
-54,-13,-30
-54,-19,-32
-46,0,-39
-32,11,-69
-26,2,-40
-36,-25,-46
-17,-65,22
-14,-107,15
5,-66,2
6,-53,12
8,-65,7
9,-59,7
10,-58,12
13,-52,13
13,-52,18
11,-53,19
13,-58,13
6,-56,13
5,-50,22
0,-58,15
5,-64,23
7,-77,25
5,-75,30
-10,-41,14
-39,-37,0
-44,-26,-12
-52,-20,-7
-53,-6,-17
-56,-16,-36
-54,-14,-28
-32,-2,-49
-31,5,-44
-26,-16,-42
-31,-102,32
7,-80,76
15,-55,35
16,-47,44
19,-40,36
16,-41,50
17,-39,40
19,-34,41
16,-43,51
9,-43,50
7,-46,39
4,-33,50
2,-43,47
-3,-43,43
-6,-51,38
-5,-55,49
-9,-76,41
-10,-62,52
-31,-25,7
-49,-38,4
-47,-11,-8
-52,-18,-12
-54,-17,-11
-49,3,-38
-47,0,-42
-32,5,-59
-22,20,-41
-25,-12,-28
2,-72,36
-13,-102,10
1,-69,8
4,-61,8
10,-59,19
7,-62,15
9,-49,11
10,-58,16
9,-57,12
8,-55,12
9,-59,14
8,-59,16
6,-54,13
-1,-56,14
-3,-63,11
2,-69,15
0,-84,14
3,-66,24
-24,-33,-10
-39,-26,-12
-47,-15,-19
-55,-24,-21
-57,-10,-22
-55,-5,-36
-50,-1,-33
-41,6,-48
-33,10,-56
-22,21,-42
-41,-55,-11
-19,-59,46
-11,-112,14
2,-70,10
11,-57,11
12,-56,10
11,-60,9
13,-59,12
7,-61,-5
1,-63,0
2,-62,2
1,-58,15
-2,-46,13
-4,-54,19
-9,-48,32
-10,-35,42
-12,-4,61
-14,25,62
-11,57,28
-11,94,16
-12,102,9
-3,82,-25
4,64,-44
-1,52,-44
-8,34,-53
-14,20,-60
-21,12,-59
-29,11,-56
-33,-6,-43
-40,-46,-58
-45,-54,-14
-70,-86,5
-109,-42,-2
-23,28,-3
-68,-6,-10
-54,-12,19
-49,-30,43
-37,-28,38
-27,-26,37
